0.864

Predicted    0    1    2    3    4    5    6    7    8    9
Actual                                                     
0          548    2    0    0    0    1    1    0    2    0
1            0  476   12    0    0    0    8    2   52   21
2            0   20  462    0    0    2    1    0   68    4
3            0    3    5  473    0    6    0    8   61   16
4            3   46    1    0  380    3   29   76   23    7
5            1    2    1   11    1  467    2    8   38   27
6            1    3    0    0    1    1  547    0    5    0
7            0    1    1    1    2    0    0  555    3    3
8            0   16    2    0    0    2    2    3  528    1
9            2   12    0   18    4    1    0   48   55  422
