0 0.226
50 0.899
100 0.920
150 0.930
200 0.933
250 0.935
300 0.936
350 0.938
400 0.938
450 0.940

Predicted    0    1    2    3    4    5    6    7    8    9
Actual                                                     
0          524    8    1    0    3   10    0    0    7    1
1            0  535    3    0    1    0    0    0   16   16
2            0   14  524    6    0    1    1    0    8    3
3            0    2    1  539    0    9    0    3   11    7
4            1   15    0    0  530    0    5    1    4   12
5            0    4    3    2    2  525    0    1    9   12
6            0   14    1    0    7    0  527    0    9    0
7            0    4    0    1    6    3    0  531   11   10
8            0   22    0    0    1    1    0    0  523    7
9            0    8    1    7    8    2    0    3    7  526
